Question,Query
"Give me a query to get the daily trends of Optin, per funnel, and funnel Group Basis","SELECT 
            DATE(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) AS date_funnel,
            b.reports_sheet AS funneloptin,
            b._GROUP as FunnelGroup,
            COUNT(DISTINCT CASE 
                WHEN properties_email IS NOT NULL THEN properties_email 
            END) AS Optins  
        FROM 
            RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_CONTACTS AS a
        LEFT JOIN 
            RUDDER_EVENTS.G_SHEET_FUNNEL_MAPPING.RUDDER_SHEET_1 AS b
        ON 
            a.properties_clickfunnel_id = b.clickfunnel_id
        WHERE 
            reports_sheet IS NOT NULL
            AND a.properties_clickfunnel_id IS NOT NULL 
            AND b.clickfunnel_id IS NOT NULL
        GROUP BY 
            1, 2, 3"
"Give me a query to get the daily trends of Deals, and Amount per funnel, and funnel Group Basis for Current Cycle(Optin and Deal Month Same)","SELECT 
                        DATE(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) AS date_funnel,
                        c.reports_sheet AS funnel_deal,
                        FunnelGroup,
                        COUNT(DISTINCT a.properties_email) AS deals,
                        SUM(properties_amount-properties_discount_amount) AS amount
                    FROM 
                        RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_DEALS AS a
                    LEFT JOIN 
                        (
                            SELECT DISTINCT properties_clickfunnel_id, properties_email, properties_utm_current_born_on_date
                            FROM RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_CONTACTS
                        ) AS b
                    ON 
                        trim(lower(a.properties_email)) = trim(lower(b.properties_email))
                    LEFT JOIN 
                        (
                            SELECT DISTINCT CLICKFUNNEL_ID, reports_sheet , _Group as FunnelGroup
                            FROM RUDDER_EVENTS.G_SHEET_FUNNEL_MAPPING.RUDDER_SHEET_1
                        ) AS c
                    ON 
                        b.properties_clickfunnel_id = c.CLICKFUNNEL_ID
                        and year(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) = year(CONVERT_TIMEZONE('UTC', properties_closedate))
                        and month(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) = month(properties_closedate)
                    WHERE 
                        properties_payment_amount > 0 
                        AND properties_pipeline = 'default'
                    GROUP BY 
                        1, 2, 3"
"Give me a query to get the daily trends of Deals, and Amount per funnel, and funnel Group Basis for MTD(Month to Date)","SELECT 
                        DATE(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) AS date_funnel,
                        c.reports_sheet AS funnel_deal,
                        FunnelGroup,
                        COUNT(DISTINCT a.properties_email) AS deals,
                        SUM(properties_amount-properties_discount_amount) AS amount
                    FROM 
                        RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_DEALS AS a
                    LEFT JOIN 
                        (
                            SELECT DISTINCT properties_clickfunnel_id, properties_email, properties_utm_current_born_on_date
                            FROM RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_CONTACTS
                        ) AS b
                    ON 
                        trim(lower(a.properties_email)) = trim(lower(b.properties_email))
                    LEFT JOIN 
                        (
                            SELECT DISTINCT CLICKFUNNEL_ID, reports_sheet , _Group as FunnelGroup
                            FROM RUDDER_EVENTS.G_SHEET_FUNNEL_MAPPING.RUDDER_SHEET_1
                        ) AS c
                    ON 
                        b.properties_clickfunnel_id = c.CLICKFUNNEL_ID
                 
                    WHERE 
                        properties_payment_amount > 0 
                        AND properties_pipeline = 'default'
                    GROUP BY 
                        1, 2, 3"
"Give me a query to get the daily trends of Meeting Held per funnel, and funnel Group Basis for Current Cycle","SELECT 
                DATE(CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) AS date_funnel,
                c.reports_sheet AS funnel_deal,
                c.ParentFunnel
                COUNT(DISTINCT a.properties_email) AS meetingheld
            FROM 
                RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_DEALS AS a
            LEFT JOIN 
                (
                    SELECT DISTINCT properties_clickfunnel_id, properties_email, properties_utm_current_born_on_date
                    FROM RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_CONTACTS
                ) AS b
            ON 
                trim(lower(a.properties_email)) = trim(lower(b.properties_email))
            LEFT JOIN 
                (
                    SELECT DISTINCT CLICKFUNNEL_ID, reports_sheet , _Group as ParentFunnel
                    FROM RUDDER_EVENTS.G_SHEET_FUNNEL_MAPPING.RUDDER_SHEET_1
                ) AS c
            ON 
                b.properties_clickfunnel_id = c.CLICKFUNNEL_ID
            WHERE 
                properties_pipeline = 'default' 
                AND properties_dealstage in ('76235851','76235852','76235853','76235854', '76235855')
            GROUP BY 
                1, 2 "
"What is the total Current Cycle Deals for May 2024, for the Funnel: ATA D2C Opt-In?","SELECT 
    COUNT(DISTINCT a.properties_email) AS deals,
    SUM(properties_amount-properties_discount_amount) AS amount
FROM 
    RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_DEALS AS a
LEFT JOIN 
    (
        SELECT DISTINCT properties_clickfunnel_id, properties_email, properties_utm_current_born_on_date
        FROM RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_CONTACTS
    ) AS b
ON 
    trim(lower(a.properties_email)) = trim(lower(b.properties_email))
LEFT JOIN 
    (
        SELECT DISTINCT CLICKFUNNEL_ID, reports_sheet
        FROM RUDDER_EVENTS.G_SHEET_FUNNEL_MAPPING.RUDDER_SHEET_1
    ) AS c
ON 
    b.properties_clickfunnel_id = c.CLICKFUNNEL_ID
WHERE 
    properties_payment_amount > 0 
    AND properties_pipeline = 'default'
    AND c.reports_sheet = 'ATA D2C Opt-In'
    AND EXTRACT(YEAR FROM CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) = 2024
    AND EXTRACT(MONTH FROM CONVERT_TIMEZONE('UTC', properties_utm_current_born_on_date)) = 5
    AND EXTRACT(YEAR FROM CONVERT_TIMEZONE('UTC', properties_closedate)) = 2024
    AND EXTRACT(MONTH FROM CONVERT_TIMEZONE('UTC', properties_closedate)) = 5"
What is the MoM Churn for the past 6 months for Subscription Users?,"with base_table as (
select date(date_trunc('month',(DATEADD(MILLISECOND,PROPERTIES_HS_INITIATED_DATE_TIMESTAMP, '1970-01-01')))) as payment_month,
lower(PROPERTIES_HS_CUSTOMER_EMAIL_VALUE) as email,
sum(PROPERTIES_HS_TOTAL_COLLECTED_AMOUNT_AFTER_REFUNDS_VALUE) as total_amount
from hubspot_nurp_payments.webhook_source_event
where PROPERTIES_HS_LATEST_STATUS_VALUE='succeeded'
and PROPERTIES_HS_PAYMENT_SOURCE_NAME_VALUE in 
(select names from gsheet_subscription_source_name.subscription_names)
group by 1,2
order by 2,1
)

SELECT    
churn_month,     
COUNT(DISTINCT CASE WHEN total_amount IS NOT NULL AND total_amount_churn_month IS NULL 
THEN email ELSE NULL END) AS churn_count,
COUNT(DISTINCT CASE WHEN total_amount IS NOT NULL THEN email ELSE NULL END) AS m_1_paid 
FROM (     
SELECT         
a.*, b.total_amount AS total_amount_churn_month, 
DATEADD('month', 1, a.payment_month) AS churn_month     
FROM base_table AS a     
LEFT JOIN base_table AS b ON a.payment_month = DATEADD('month', -1, b.payment_month)         
AND a.email = b.email )
WHERE churn_month <= date(date_trunc('month',CURRENT_DATE - 1 ))
and churn_month >= DATEADD(MONTH, -6,date_trunc('month',CURRENT_DATE - 1))
GROUP BY 1 
ORDER BY 1"
What is the MoM active Subscription users since Jan-24 ?,"with base_table as (
select date(date_trunc('month',(DATEADD(MILLISECOND,PROPERTIES_HS_INITIATED_DATE_TIMESTAMP, '1970-01-01')))) as payment_month,
lower(PROPERTIES_HS_CUSTOMER_EMAIL_VALUE) as email,
sum(PROPERTIES_HS_TOTAL_COLLECTED_AMOUNT_AFTER_REFUNDS_VALUE) as total_amount
from hubspot_nurp_payments.webhook_source_event
where PROPERTIES_HS_LATEST_STATUS_VALUE='succeeded'
and PROPERTIES_HS_PAYMENT_SOURCE_NAME_VALUE in 
(select names from gsheet_subscription_source_name.subscription_names)
group by 1,2
order by 2,1
)

select payment_month as month, count(distinct email)
from base_table where total_amount >0
where payment_month >= '2024-01-01'
group by 1 order by 1"
What is the Daily trend of Scheduled vs Held ?,"SELECT
    DATE(DATE_TRUNC('day', CONVERT_TIMEZONE('UTC', a.timestamp))) AS date_funnel,
    COUNT(DISTINCT a.DATA_FORM_SUBMISSION_EMAIL) AS scheduled,
    COUNT(DISTINCT CASE WHEN c.properties_pipeline = 'default' AND c.properties_dealstage IN ('76235851','76235852','76235853','76235854','76235855') THEN a.DATA_FORM_SUBMISSION_EMAIL ELSE NULL END) AS held
FROM
    schedule_once.webhook_source_event AS a
LEFT JOIN
    RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_contacts AS b ON TRIM(LOWER(b.PROPERTIES_EMAIL)) = TRIM(LOWER(a.DATA_FORM_SUBMISSION_EMAIL))
LEFT JOIN
    RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_deals AS c ON TRIM(LOWER(c.PROPERTIES_EMAIL)) = TRIM(LOWER(a.DATA_FORM_SUBMISSION_EMAIL))
GROUP BY
    1
ORDER BY
    1 DESC"
What is the MoM Show Rate ?,"SELECT
    DATE(DATE_TRUNC('month', CONVERT_TIMEZONE('UTC', a.timestamp))) AS month,
    COUNT(DISTINCT a.DATA_FORM_SUBMISSION_EMAIL) AS scheduled,
    COUNT(DISTINCT CASE WHEN c.properties_pipeline = 'default' AND c.properties_dealstage IN ('76235851','76235852','76235853','76235854','76235855') THEN a.DATA_FORM_SUBMISSION_EMAIL ELSE NULL END) AS held,
round((COUNT(DISTINCT CASE WHEN c.properties_pipeline = 'default' AND c.properties_dealstage IN ('76235851','76235852','76235853','76235854','76235855') THEN a.DATA_FORM_SUBMISSION_EMAIL ELSE NULL END)/COUNT(DISTINCT a.DATA_FORM_SUBMISSION_EMAIL)),2) as show_ratio
    
FROM
    schedule_once.webhook_source_event AS a
LEFT JOIN
    RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_contacts AS b ON TRIM(LOWER(b.PROPERTIES_EMAIL)) = TRIM(LOWER(a.DATA_FORM_SUBMISSION_EMAIL))
LEFT JOIN
    RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_deals AS c ON TRIM(LOWER(c.PROPERTIES_EMAIL)) = TRIM(LOWER(a.DATA_FORM_SUBMISSION_EMAIL))
GROUP BY
    1
ORDER BY
    1 DESC"
"What is the total users, and CLV.","SELECT     COUNT(DISTINCT properties_email) AS total_users,     COUNT(DISTINCT CASE WHEN total_payment_count = 1 THEN properties_email ELSE NULL END) AS total_onetimeusers,     COUNT(DISTINCT CASE WHEN total_payment_count > 1 THEN properties_email ELSE NULL END) AS total_multipletimeusers,     AVG(total_payment_amount) AS avg_clv_overall,     AVG(CASE WHEN total_payment_count = 1 THEN total_payment_amount ELSE NULL END) AS avg_clv_onetimeusers,     AVG(CASE WHEN total_payment_count > 1 THEN total_payment_amount ELSE NULL END) AS avg_clv_multipletimeusers,     AVG(CASE WHEN total_payment_count > 1 THEN DATEDIFF(DAY, first_purchase_date, last_purchase_date) ELSE NULL END) AS avg_life_span FROM     (         SELECT             properties_email,             SUM(properties_amount) AS total_amount,             SUM(properties_revenue_discount) AS total_payment_amount,             SUM(properties_discount_amount) AS total_discount_amount,             MIN(CONVERT_TIMEZONE('America/New_York', properties_closedate)) AS first_purchase_date,             MAX(CONVERT_TIMEZONE('America/New_York', properties_closedate)) AS last_purchase_date,             COUNT(*) AS total_payment_count         FROM             RUDDER_EVENTS.HUBSPOT_DEV.HUBSPOT_DATA_RUDDER_DEALS         WHERE             properties_pipeline IN ('35026189', 'default')             AND properties_revenue_discount > 0             AND LOWER(IFNULL(PROPERTIES_STRIPE_PLAN_ID, 'NA')) NOT LIKE '%connection-fee%'             AND properties_email IS NOT NULL         GROUP BY             1     ) AS subquery"
